151 Swizzle,Absinthe
151 Swizzle,Bitters [Angostura]
151 Swizzle,Rum [Lemonhart]
20th Century (v Islay),Cocchi Americano
20th Century (v Islay),Crème de Cacao
20th Century (v Islay),Gin [London]
20th Century (v Islay),Scotch [Islay]
20th Century (v PDT),Crème de Cacao
20th Century (v PDT),Gin [London]
20th Century (v PDT),Lillet Blanc
Absinthe Frappe,Absinthe
Admiral Russell's Punch,Brandy [Cognac]
Admiral Russell's Punch,Sherry
Afonso de Albuquerque,Scotch [Islay]
Afonso de Albuquerque,Whiskey [Rye]
Airmail,Rhum [Agricole]
Airmail,Rum [Cuban Dark]
Airmail,Sparkling Wine
Alaska,Chartreuse [Yellow]
Alaska,Gin [London]
Alaska (w Orange Bitters),Bitters [Orange]
Alaska (w Orange Bitters),Chartreuse [Yellow]
Alaska (w Orange Bitters),Gin [London]
Alexander,Brandy [Cognac]
Alexander,Crème de Cacao
Algonquin,Vermouth [Dry]
Algonquin,Whiskey [Rye]
Americano,Campari
Americano,Vermouth [Sweet]
Angel Face,Brandy [Apple]
Angel Face,Brandy [Apricot]
Angel Face,Gin [London]
Angostura Sour,Bitters [Angostura]
Apertif,Brandy [Apple]
Apertif,St. Germain
Apertif,Vermouth [Dry]
Armistice,Bitters [Angostura]
Armistice,Chartreuse [Green]
Armistice,Maraschino Liquor
Armistice,Vermouth [Dry]
Armistice,Whiskey [Rye]
Astor Hotel Special,Absinthe
Astor Hotel Special,Brandy [Cognac]
Astor Hotel Special,Maraschino Liquor
Aviation,Crème de Violette
Aviation,Gin [Old Tom]
Aviation,Maraschino Liquor
B52,Baileys Irish Cream
B52,Coffee Liqueur
B52,Grand Marnier
Bacardi Cocktail,Rum [Cuban White]
Bacardi Cocktail,Syrup [Grenadine]
Bamboo,Bitters [Orange]
Bamboo,Sherry
Bamboo,Vermouth [Dry]
Barracuda,Galliano
Barracuda,Rum [Jamaican Gold]
Barracuda,Sparkling Wine
Battle of New Orleans,Absinthe
Battle of New Orleans,Bitters [Orange]
Battle of New Orleans,Bitters [Peychaud's]
Battle of New Orleans,Whiskey [Rye]
Bee’s Knees,Gin [London]
Between the Sheets,Brandy [Cognac]
Between the Sheets,Cointreau
Between the Sheets,Rum [Cuban White]
Bijou,Bitters [Orange]
Bijou,Chartreuse [Green]
Bijou,Gin [London]
Bijou,Vermouth [Sweet]
Billy Wilkerson Topper,Chartreuse [Yellow]
Billy Wilkerson Topper,Orange Flower Water
Billy Wilkerson Topper,Rum [Cuban White]
Bitter End,Campari
Bitter End,IPA
Bizzy Izzy,Bitters [Angostura]
Bizzy Izzy,Sherry
Bizzy Izzy,Whiskey [Rye]
Black & Tan,Whiskey [Rye]
Black Manhattan,Averna
Black Manhattan,Bitters [Angostura]
Black Manhattan,Whiskey [Rye]
Block & Fall,Absinthe
Block & Fall,Brandy [Apple]
Block & Fall,Brandy [Cognac]
Block & Fall,Cointreau
Blood and Sand,Cherry Heering
Blood and Sand,Scotch [Blended]
Blood and Sand,Vermouth [Sweet]
Bloody Mary,Vodka
Bobby Burns,Bénédictine
Bobby Burns,Scotch [Blended]
Bobby Burns,Vermouth [Sweet]
Boulevardier (v Bourbon),Brandy [Apple]
Boulevardier (v Bourbon),Vermouth [Sweet]
Boulevardier (v Bourbon),Whiskey [Rye]
Boulevardier (v Rye),Brandy [Apple]
Boulevardier (v Rye),Vermouth [Sweet]
Boulevardier (v Rye),Whiskey [Rye]
Bourbon Sour,Bitters [Angostura]
Bourbon Sour,Whiskey [Rye]
Bramble,Blackberry liqueur
Bramble,Crème de Cassis
Bramble,Gin [London]
Bramble,Gin [London]
Brass Rail,Bénédictine
Brass Rail,Bitters [Orange]
Brass Rail,Rum [Cuban White]
Bronco Buster (v Hebug),Brandy [Apple]
Bronco Buster (v Hebug),Cointreau
Bronco Buster (v Hebug),Whiskey [Rye]
Bronco Buster (v SR),Brandy [Apple]
Bronco Buster (v SR),Cointreau
Bronco Buster (v SR),Whiskey [Rye]
Bronx & Income Tax,Bitters [Angostura]
Bronx & Income Tax,Gin [London]
Bronx & Income Tax,Vermouth [Dry]
Bronx & Income Tax,Vermouth [Sweet]
Brooklyn (v bitters),Bitters [Angostura]
Brooklyn (v bitters),Bitters [Orange]
Brooklyn (v bitters),Maraschino Liquor
Brooklyn (v bitters),Vermouth [Dry]
Brooklyn (v bitters),Whiskey [Rye]
Brooklyn (v u/bitcheslovebanjos),Bitters [Angostura]
Brooklyn (v u/bitcheslovebanjos),China China
